TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partecipant,Test,Gender,English,Dominance
54:37.1,0.4367989,0.4395001,0.22994909,10.862.408,0.36932954,0.037396975,-0.25468242,10.506.294,0.42440912,0.22020493,0.22305137,0.6536454,0.5098165,-0.1363936,-0.063237846,0.66931736,0.5041103,-0.59916866,-0.483781,-0.018839922,13.639.194,7.861.172,77.564.105,7.978.022,74.663.007,-0.036193848,-0.00769043,100.946.044.921.875,315.521.240.234.375,-6.497.344.970.703.120,-2.549.591.064.453.120,1,2,1,1,2,90,,201,RHS,Female,No,Right
54:37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:38.1,0.4367989,0.23537001,0.06772548,10.862.408,0.36932954,-0.2647047,-0.49598646,10.506.294,0.42440912,0.07559367,0.16945057,0.6536454,0.5098165,-0.028237604,0.05684763,0.66931736,0.5041103,-0.59355354,-0.26391166,-0.018839922,12.772.894,79.981.683,78.007.324,12.079.854,69.344.324,-0.052062988,-0.004516602,1.012.939.453.125,324.493.408.203.125,-7.005.767.822.265.620,0.216827393,1,2,1,1,2,90,,201,RHS,Female,No,Right
54:38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:39.2,0.4367989,0.29236534,0.049285423,10.862.408,0.36932954,-0.15802151,-0.21132177,10.506.294,0.42440912,-0.18666773,0.19920547,0.6536454,0.5098165,-0.17002934,0.16223773,0.66931736,0.5041103,-0.398302,0.035120204,-0.018839922,13.276.556,799.011,7.728.205,9.219.048,80.465.204,-0.02923584,6.10E+04,101.953.125,4.224.395.751.953.120,-6.497.344.970.703.120,0.254211426,1,2,1,1,2,90,,201,RHS,Female,No,Right
54:39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:40.2,0.4367989,0.2489276,0.28132486,10.862.408,0.36932954,0.003828908,0.06567655,10.506.294,0.42440912,0.026993804,0.24871355,0.6536454,0.5098165,-0.09812076,-0.13108104,0.66931736,0.5041103,-0.10400164,-0.24521148,-0.018839922,10.202.198,8.006.227,78.934.064,0,8.723.443,-0.036499023,-0.003051758,101.251.220.703.125,234.771.728.515.625,-417.205.810.546.875,1.039.276.123.046.870,1,2,1,1,4,90,,201,RHS,Female,No,Right
54:40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:41.2,0.4367989,0.056061737,0.22636595,10.862.408,0.36932954,-0.18037778,-0.13300794,10.506.294,0.42440912,0.05646687,0.19473892,0.6536454,0.5098165,0.019767337,-0.04290021,0.66931736,0.5041103,-0.12705483,-0.3234015,-0.018839922,9.819.414,8.026.374,77.886.444,16.391.208,8.006.227,-0.049438477,0.024658203,10.089.111.328.125,3.401.947.021.484.370,-5.540.313.720.703.120,2.504.730.224.609.370,1,2,1,1,4,90,,201,RHS,Female,No,Right
54:41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:42.2,0.4367989,0.10087358,0.11740957,10.862.408,0.36932954,-0.036316786,0.057547696,10.506.294,0.42440912,0.32531488,0.057650924,0.6536454,0.5098165,-0.1122394,-0.05434467,0.66931736,0.5041103,-0.24074396,-0.37938702,-0.018839922,35.256.412,80.626.373,8.030.403,1.354.652,7.216.484,-0.05645752,0.022705078,101.123.046.875,2.691.650.390.625,-381.317.138.671.875,-0.007476807,1,2,1,1,4,90,,201,RHS,Female,No,Right
54:42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHS,Female,No,Right
54:42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,201,RHS,Female,No,Right
