,Unnamed: 0,Unnamed: 0.1,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
10,10,10,2022-11-01 21:39:59.912,1.1629847,0.0,1.3861642,0.95455945,0.7205768,0.0,0.9920735,0.85556,0.79017204,0.0,0.86292493,0.80102247,0.7550079,0.0,0.52760345,0.4612883,0.1701983,0.0,-0.2585299,0.23137096,800.6227,949.707,739.3773,791.75824,696.26373,0.21160888671875,0.4573974609375,0.8909912109375,4.29168701171875,-4.9346923828125,2.01873779296875,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
11,11,11,2022-11-01 21:40:00.931,1.2566346,0.0,1.3997185,0.95455945,0.7880011,0.0,1.0749193,0.85556,0.74732614,0.0,0.8107947,0.80102247,0.6907641,0.0,0.54803777,0.4612883,0.20570353,0.0,-0.2528979,0.23137096,903.7729,828.8278,877.5824,890.4762,780.07324,0.2110595703125,0.5098876953125,0.87371826171875,-0.64300537109375,-0.485992431640625,-7.3272705078125,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
12,12,12,2022-11-01 21:40:01.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,315,LHS,Male,Yes,Right
13,13,13,2022-11-01 21:40:01.964,1.2652498,0.0,1.3997185,0.95455945,0.8292654,0.0,1.0749193,0.85556,0.6836036,0.0,0.8107947,0.80102247,0.64197695,0.0,0.54803777,0.4612883,0.24167904,0.0,-0.2528979,0.23137096,811.9048,825.6044,808.2784,824.7985,677.72894,0.16064453125,0.38983154296875,0.9224853515625,4.553375244140625,-4.837493896484375,0.052337646484375,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
14,14,14,2022-11-01 21:40:02.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,315,LHS,Male,Yes,Right
15,15,15,2022-11-01 21:40:02.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,315,LHS,Male,Yes,Right
16,16,16,2022-11-01 21:40:02.984,1.2652498,0.0,1.3997185,0.95455945,0.8292654,0.0,1.0749193,0.85556,0.6836036,0.0,0.8107947,0.80102247,0.64197695,0.0,0.54803777,0.4612883,0.24167904,0.0,-0.2528979,0.23137096,799.41394,878.3883,801.02563,786.52014,677.326,0.146728515625,0.41046142578125,0.92022705078125,3.289794921875,-3.70849609375,-0.8673095703125,1.0,2.0,4.0,1.0,2.0,70.0,,315,LHS,Male,Yes,Right
17,17,17,2022-11-01 21:40:04.003,1.2652498,0.0,1.3997185,0.95455945,0.8292654,0.0,1.0749193,0.85556,0.6836036,0.0,0.8107947,0.80102247,0.64197695,0.0,0.54803777,0.4612883,0.24167904,0.0,-0.2528979,0.23137096,827.2161,891.28204,805.4579,802.6374,674.10254,0.162109375,0.41522216796875,0.91265869140625,3.93280029296875,-4.044952392578125,1.54022216796875,1.0,2.0,4.0,1.0,2.0,70.0,,315,LHS,Male,Yes,Right
18,18,18,2022-11-01 21:40:05.009,1.2652498,0.0,1.1599191,0.95455945,0.8292654,0.0,0.83382374,0.85556,0.6836036,0.0,0.48613662,0.80102247,0.64197695,0.0,0.34388378,0.4612883,0.24167904,0.0,-0.046421092,0.23137096,805.05493,732.9304,814.3223,795.78754,781.685,0.15911865234375,0.409912109375,0.90130615234375,-1.12152099609375,-6.29547119140625,-4.299163818359375,1.0,2.0,4.0,1.0,2.0,70.0,,315,LHS,Male,Yes,Right
19,19,19,2022-11-01 21:40:06.029,1.2652498,0.0,1.1099396,0.95455945,0.8292654,0.0,0.7750776,0.85556,0.6836036,0.0,0.475723,0.80102247,0.64197695,0.0,0.35317302,0.4612883,0.24167904,0.0,-0.04858501,0.23137096,774.0293,922.71063,767.5824,765.9707,662.01465,0.167236328125,0.42376708984375,0.90802001953125,3.566436767578125,-4.628143310546875,1.016845703125,1.0,2.0,4.0,1.0,2.0,70.0,,315,LHS,Male,Yes,Right
20,20,20,2022-11-01 21:40:07.035,0.8054731,0.0,1.3385472,1.0608654,0.88515866,0.0,1.0271294,0.8665753,0.9771539,0.0,1.1510558,1.0705322,0.8148836,0.0,0.89617664,0.6578574,0.56392395,0.0,0.24616101,0.18955469,798.60803,944.87177,782.49084,794.17584,666.04395,0.1702880859375,0.42816162109375,0.90728759765625,3.18511962890625,-4.269256591796875,-0.04486083984375,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
21,21,21,2022-11-01 21:40:07.510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,315,LHS,Male,Yes,Right
22,22,22,2022-11-01 21:40:07.680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,315,LHS,Male,Yes,Right
23,23,23,2022-11-01 21:40:08.060,0.65270704,0.0,1.317437,0.73906,0.80226976,0.0,1.1155356,0.6779182,0.93989545,0.0,1.0912459,0.555888,0.8908752,0.0,0.90602607,0.69366115,0.5553975,0.0,0.2389579,0.16893451,790.14655,231.68498,790.14655,790.9524,960.18317,0.1507568359375,0.38531494140625,0.93170166015625,1.682281494140625,-5.764617919921875,1.1065673828125,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
24,24,24,2022-11-01 21:40:09.068,0.5548256,0.0,1.2366133,0.73906,0.76712245,0.0,1.1448689,0.6779182,0.9038857,0.0,0.9068558,0.555888,0.91556424,0.0,0.86660534,0.69366115,0.5589844,0.0,0.1817079,0.16893451,886.04395,948.49817,790.14655,885.2381,713.1868,0.15875244140625,0.4010009765625,0.921142578125,3.850555419921875,-4.4561767578125,0.306549072265625,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
25,25,25,2022-11-01 21:40:10.080,0.5548256,0.0,1.2366133,0.73906,0.76712245,0.0,1.1448689,0.6779182,0.9038857,0.0,0.9068558,0.555888,0.91556424,0.0,0.86660534,0.69366115,0.5589844,0.0,0.1817079,0.16893451,769.59705,371.50183,761.9414,772.4176,994.83514,0.16278076171875,0.41265869140625,0.91314697265625,3.461761474609375,-4.852447509765625,-0.216827392578125,1.0,2.0,4.0,1.0,2.0,70.0,,315,LHS,Male,Yes,Right
26,26,26,2022-11-01 21:40:11.106,0.5548256,0.0,1.2366133,0.73906,0.76712245,0.0,1.1448689,0.6779182,0.9038857,0.0,0.9068558,0.555888,0.91556424,0.0,0.86660534,0.69366115,0.5589844,0.0,0.1817079,0.16893451,822.7839,509.70697,807.47253,850.18317,1005.7143,0.15362548828125,0.42218017578125,0.92535400390625,4.673004150390625,-4.0374755859375,0.216827392578125,1.0,2.0,4.0,1.0,2.0,70.0,,315,LHS,Male,Yes,Right
27,27,27,2022-11-01 21:40:12.132,0.9526128,0.0,1.2366133,0.73906,0.5922913,0.0,1.1448689,0.6779182,0.80350703,0.0,0.9068558,0.555888,0.6739604,0.0,0.86660534,0.69366115,0.46238643,0.0,0.1817079,0.16893451,822.381,885.64105,780.4762,806.26373,709.9634,0.17291259765625,0.43206787109375,0.90704345703125,2.5421142578125,-3.701019287109375,2.4224853515625,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
28,28,28,2022-11-01 21:40:13.143,1.0841417,0.0,1.2366133,1.1290301,0.4153453,0.0,1.1448689,0.49406734,0.91227186,0.0,0.9068558,0.5227998,0.73375905,0.0,0.86660534,0.56577486,0.3809049,0.0,0.1817079,0.2399765,817.5458,1097.5824,781.685,805.05493,645.09155,0.1705322265625,0.43707275390625,0.9095458984375,2.4224853515625,-4.628143310546875,-0.725250244140625,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
29,29,29,2022-11-01 21:40:14.152,1.2546624,0.0,1.3103434,1.0927345,0.30465937,0.0,0.58384275,0.2610767,0.8329015,0.0,0.71992016,0.57786,0.7376249,0.0,0.49634573,0.5742779,0.44123763,0.0,-0.13960844,0.17031494,786.9231,892.0879,779.67035,795.78754,757.1062,0.1893310546875,0.43365478515625,0.90179443359375,3.51409912109375,-4.717864990234375,-0.052337646484375,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
30,30,30,2022-11-01 21:40:15.169,1.1994853,0.0,1.2157152,1.0009307,0.59050363,0.0,0.47621614,0.27916485,0.9303504,0.0,0.79640156,0.41721472,0.71144,0.0,0.49176988,0.5834367,0.41351426,0.0,-0.0041671116,0.070768476,815.9341,766.3736,811.50183,801.02563,691.8315,0.18646240234375,0.4371337890625,0.89935302734375,4.127197265625,-5.09918212890625,0.16448974609375,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
31,31,31,2022-11-01 21:40:16.197,0.94896954,0.0,1.2044168,0.95135033,0.5784035,0.0,0.85776585,0.61385095,0.84233063,0.0,0.856959,0.82464284,0.7280988,0.0,0.43346983,0.6584022,0.5900396,0.0,-0.31273398,0.08961372,794.17584,921.0989,795.38464,786.1172,726.08057,0.18731689453125,0.43988037109375,0.89306640625,3.940277099609375,-4.8150634765625,1.4056396484375,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
32,32,32,2022-11-01 21:40:17.217,0.93451303,0.0,0.92681557,0.95910484,0.4633618,0.0,0.7621325,0.4170809,0.94011694,0.0,0.870887,0.8427694,0.7070136,0.0,0.4462054,0.6756845,0.5596213,0.0,-0.14372253,0.2303243,805.05493,334.83517,803.0403,808.68134,909.81683,0.1826171875,0.4495849609375,0.893310546875,3.39447021484375,-4.388885498046875,-1.12152099609375,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
33,33,33,2022-11-01 21:40:18.235,0.56769717,0.0,1.180738,0.82416517,0.29384696,0.0,0.711953,0.47456655,0.71943456,0.0,0.7885016,0.5822235,0.6008932,0.0,0.3044696,0.69328463,0.5130788,0.0,-0.13480751,0.123009525,799.011,318.31503,793.36993,788.5348,956.55676,0.19427490234375,0.45159912109375,0.8909912109375,3.27484130859375,-4.224395751953125,0.231781005859375,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
34,34,34,2022-11-01 21:40:19.267,0.7786164,0.0,1.2398833,0.9010246,0.18364383,0.0,0.83187497,0.4001734,0.70429844,0.0,0.5904773,0.7449939,0.94710016,0.0,0.3574207,0.7681575,0.54937756,0.0,-0.12813278,0.13228378,796.5934,870.32965,782.8938,764.35895,771.6117,0.20416259765625,0.45220947265625,0.8924560546875,3.715972900390625,-5.001983642578125,-0.321502685546875,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
35,35,35,2022-11-01 21:40:20.284,0.7786164,0.0,1.0933591,1.015518,0.18364383,0.0,0.16960903,0.28180456,0.70429844,0.0,0.5007137,0.719717,0.94710016,0.0,0.39647058,0.915661,0.54937756,0.0,0.09889079,0.2659188,813.5165,1099.597,789.34064,813.1135,767.5824,0.19000244140625,0.47918701171875,0.8795166015625,2.100982666015625,-4.6356201171875,-0.291595458984375,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
36,36,36,2022-11-01 21:40:21.299,0.6355202,0.0,0.97017527,1.0196532,0.13690037,0.0,0.62038463,0.5990506,1.0836701,0.0,0.7963297,0.98696965,0.77863544,0.0,0.32939732,0.5754227,0.79196805,0.0,-0.11122676,0.071797006,810.696,204.28572,788.93774,850.18317,1012.5641,0.166748046875,0.4139404296875,0.9114990234375,0.829925537109375,-1.562652587890625,2.97576904296875,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
37,37,37,2022-11-01 21:40:22.315,0.9875394,0.0,1.3084173,1.0895157,0.30759907,0.0,0.9061168,0.49461442,1.1916401,0.0,0.848139,0.9187948,0.7307645,0.0,0.23973517,0.59523374,0.6845222,0.0,-0.21558632,-0.006710507,820.3663,938.022,792.96704,821.5751,812.71063,0.151123046875,0.41839599609375,0.9163818359375,2.1234130859375,-4.90478515625,-0.37384033203125,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
38,38,38,2022-11-01 21:40:23.340,0.8729986,0.0,0.966656,0.7392351,0.43879792,0.0,0.6574362,0.20249857,0.81074643,0.0,0.6569853,0.48125857,0.7016946,0.0,0.14483307,0.48419198,0.4592009,0.0,-0.25261876,0.21141657,802.6374,1020.6227,784.10254,824.3956,673.69965,0.15875244140625,0.41461181640625,0.9114990234375,3.386993408203125,-4.14215087890625,0.306549072265625,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
39,39,39,2022-11-01 21:40:24.373,0.37754896,0.0,0.55431634,0.7146865,0.4066556,0.0,0.78293824,0.2787621,0.8438029,0.0,0.84211963,0.67842007,0.79756683,0.0,0.25586972,0.47814205,0.5575445,0.0,-0.34157312,0.03934159,800.2198,760.32965,768.7912,785.7143,798.60803,0.16253662109375,0.4232177734375,0.91876220703125,3.401947021484375,-5.30853271484375,0.11962890625,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
40,40,40,2022-11-01 21:40:25.399,0.87260795,0.0,0.825295,1.0169519,0.3030735,0.0,0.5714376,0.30908215,0.77342325,0.0,0.47766167,0.8143311,0.79871124,0.0,0.12765014,0.52882624,0.54084873,0.0,-0.38362652,-0.12340991,772.8205,840.9158,801.02563,775.64105,702.3077,0.1458740234375,0.40216064453125,0.9129638671875,3.2000732421875,-4.224395751953125,0.8074951171875,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
41,41,41,2022-11-01 21:40:26.437,1.1350099,0.0,1.0695466,1.1848074,0.44947082,0.0,0.54563487,0.42461255,0.6970957,0.0,0.030611025,0.69995695,0.76057315,0.0,0.15749592,0.31344005,0.6123201,0.0,-0.3046319,-0.075619034,786.9231,566.9231,797.8022,775.64105,831.6484,0.13653564453125,0.41607666015625,0.9241943359375,2.729034423828125,-4.448699951171875,-0.34393310546875,1.0,1.0,4.0,1.0,1.0,70.0,,315,LHS,Male,Yes,Right
